id,url,title,price,description,image_count,first_image_url,processing_timestamp,variant_count,variant_types,stock_status
padded-laptop-sleeve,https://agilite.co.il/products/padded-laptop-sleeve,'שרוול לפטופ מרופד 14.5 אינץ,159.9,"תיאור   פרטים   מפרט   החזרים         • מיוצר מבד 500 דנייר CORDURA בתקן צבאי, וכולל ספוג סגור לספיגת זעזועים – כמו במוצרים הטקטיים הקשוחים ביותר שלנו – המעטפת מגנה על הלפטופ והמכשירים החכמים שלך מפני חבטות, נפילות ומכות.   • גם בשדה הקרב המודרני יש יותר ויותר מכשירים חכמים בשימוש, והספוג הסגור מספק להם שכבת הגנה מעולה בסביבה צבאית קשוחה.   • חלקו החיצוני של המארז כולל שטח סקוץ' (לולאות) לחיבור פאוצ'ים נוספים, פאצ'ים ועוד. ה""כנפיים"" האחוריות עם סקוץ' מאפשרות חיבור פנימי לתוך תיקי AMAP III או כל תיק אחר עם פנים סקוץ', אך גם מסתובבות 360° ליצירת ידית אחיזה קשיחה לנשיאה מחוץ לתיק.            • שרוול לפטופ מספק הגנה מפני זעזועים ושריטות למחשבים ומכשירים חכמים נוספים    • ניתן לשלב אותו בתוך תיק AMAP III של Agilite או בכל תיק אחר עם דפנות סקוץ'    • שטח סקוץ' חיצוני מאפשר חיבור פאוצ'ים או פאצ'ים נוספים    • כולל ""כנפיים"" עם סקוץ' לחיבור וייצוב בתוך תיק עם סקוץ'    • כאשר מוציאים את השרוול מה-AMAP III או מהתיק – הכנפיים מתקפלות ליצירת ידית נשיאה קשיחה            • בד ניילון טקטי CORDURA® בתקן צבאי – 500/1000 דנייר   • בד חתוך בלייזר ושטחי סקוץ' איכותיים   • חומרי פלסטיק ומתכת בתקן צבאי   • ידית Agilite Polymer Grip-pull מובנית   • מתאים ללפטופים בגודל של עד 14.5 אינץ'            מדיניות החזרים: אם אינכם מרוצים ב-100% מהרכישה שלכם, תוכלו להחזיר את המוצר ולקבל החזר כספי מלא. ניתן להחזיר מוצר עד 30 ימים ממועד קבלתו. המוצר חייב להיות במצב שבו התקבל.   לשאלות נוספות ומידע על החזרות מחוץ לארה""ב, צרו קשר:     customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/AGILITE_14.5_PaddedLaptopSleeve_MTC-1.webp?v=1714026921&width=1024,2025-06-18T18:31:29.813811,3,[],Out of Stock
14-5-padded-laptop-sleeve-up,https://agilite.co.il/products/14-5-padded-laptop-sleeve-up,'שרוול לפטופ מרופד 14.5 אינץ,119.9,"תיאור   פרטים   מפרט   החזרות            • עשוי מ‑Cordura צבאי בעל 500 Denier והקצף להגנה מפני זעזועים ובידוד נוחות, זהה לזה שבציוד הטקטי הקשוח ביותר שלנו, השרוול      מגן על הלפטופ והמכשירים החכמים שלך מפני מכות, התנגשויות או נפילות מקריות.     • גם בשדה הקרב המודרני, כאשר נעשה שימוש במכשירים חכמים נוספים, הקצף הסגור שבשרוול      שומר עליהם בטוחים ומוגנים בסביבות צבאיות קשות.     • כולל משטח חיצוני עם לולאות לחיבור תיקי לופ נוספים, טלאים ועוד. כנפיים עם הוק מחברות את השרוול ללפטופ בתוך תיק ה‑AMAP III שלך או בכל תיק עם ריפוד וולקרו, אך ניתן לסובב אותן ב‑360 מעלות ליצירת אחיזה יציבה כאשר אתה נושא את הלפטופ מחוץ לתיק.               • השרוול למחשב נייד מספק הגנה מפני זעזועים ושריטות עבור מחשבים ומכשירים חכמים אחרים.     • ניתן להשתמש בו בתיק Agilite AMAP III או בכל תיק עם לולאות.     • לשרוול יש משטח חיצוני עם לולאות לחיבור תיקי לופ נוספים או טלאים.     • כולל כנפיים עם הוק לחיבור והבטחת יציבותו בתוך תיק ה‑AMAP III שלך או תיק עם לולאות.     • כאשר מסירים את השרוול מהתיק, כנפי ההוק מתהפכות ליצירת אחיזה יציבה בעת העברת הלפטופ.               • ניילון CORDURA® צבאי 500/1000 Denier     • בדים חתוכים בלייזר ולולאות     • חומרי פולימר ומתכת לפי תקן צבאי     • אחיזת משיכה מפלסטיק של Agilite     • מתאים עד 14.5 אינץ' למחשבים ניידים               מדיניות החזרות - אם אינך מרוצה ב‑100% מהרכישה, תוכל להחזיר את המוצר ולקבל החזר מלא.      ניתן להחזיר את המוצר עד 30 יום מיום קבלתו. כל מוצר שתחזיר חייב להיות במצב שקיבלת אותו.      לכל שאלה נוספת ולמידע על החזרות מחוץ לארה""ב, אנא פנה אלינו בכתובת      customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/products/3_9de966db-1456-4bad-8a20-d18dd64a49c9.jpg?v=1669549331&width=1024,2025-06-18T18:31:29.813811,3,[],Out of Stock
quick-release-cummerbund-buckle,https://agilite.co.il/products/quick-release-cummerbund-buckle,2M ROC - מערכת ניתוק מהיר,49.9,ערכת אבזמי Quick Release Cummerbund מאפשרת לך ללבוש ולהסיר את הווסט בתוך שניות.  לבישה והסרה מהירה תפעול ביד אחת פתחים לניקוי עצמי,1,https://agilite.co.il/cdn/shop/products/IMG_0064Quickrelease.jpg?v=1678786719&width=1024,2025-06-18T18:31:29.813811,2,[],Out of Stock
ag1-5-56-single-mag-pouch,https://agilite.co.il/products/ag1-5-56-single-mag-pouch,AG1™ - פונדת מחסנית מודולרית,106.0,"פונדת מחסנית AG1 - Agilite                                מידע     מידות     מפרט     החזרים                      • פונדת **AG1** של אג'ילייט היא **פונדה מודולרית למחסניות**, המאפשרת שליפה והכנסה קלה בעזרת יד אחת בלבד.                • מיועדת לשימוש **לוחמים, כוחות ביטחון ואזרחים חמושים**, ומעניקה **נוחות שליפה אופטימלית** יחד עם רמת אחיזה גבוהה במיוחד.              • כוללת **טכנולוגיית אחיזה ייחודית** למניעת נפילת מחסנית, תוך שמירה על גישה מהירה ונוחה.                           • מתאימה **למחסנית בודדת**.                           • **עשויה ניילון טקטי 500D CORDURA® Mil Spec** לעמידות גבוהה.       • **כיסוי MOLLE חתוך בלייזר** עם חיבור **Velcro®**.       • תופסת **3 חריצי MOLLE אנכיים ו-2 חריצי MOLLE אופקיים**.       • **משקל:** 0.14 פאונד (0.16 ק""ג).        **פרטים נוספים:**       • מתאימה **למחסנית 5.56 בודדת**.       • מאפשרת **שליפה והכנסה קלה של מחסנית בעזרת יד אחת**.       • לשונית **פולימר ייחודית** לאחיזה מקסימלית.       • מנגנון אחיזה אמין המבטיח **שמירה על המחסנית במקומה**.       • חיבור **MOLLE מובנה** בגב הפונדה.       • **נבדק ואושר בקרב על ידי כוחות מיוחדים בישראל**.       • מנגנון אחיזה חכם **שעומד בדרישות צבאיות**, מבלי לחסום את הגישה למחסנית.                           מדיניות החזרים:         אם אינכם מרוצים מהמוצר, תוכלו להחזירו עד **30 ימים** מיום הרכישה ולקבל החזר כספי מלא.         יש להחזיר את המוצר במצבו המקורי כפי שהתקבל.         לכל שאלה או בירור נוסף, ניתן לפנות אלינו בכתובת:         customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/AG1_5.56SingleMagPouch_RG-1_b6d56eaa-ce4b-46b8-a447-624895546f09.webp?v=1747125683&width=1024,2025-06-18T18:31:29.813811,4,[],In Stock
ag3-5-56-triple-mag-pouch,https://agilite.co.il/products/ag3-5-56-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות מודולרית,229.0,"מידע     מידות     מפרט     החזרים                      • פונדת ה-AG3 המודולרית מאפשרת לך לשלוף או להכניס בחזרה מחסניות בקלות יתר, בעזרת יד אחת, מבלי שהתופסני אבטחה למחסנית יפריעו בדרך.       • פונדות עם תופסני אבטחה נמצאות בשירות כבר למעלה מעשור בשל הדרך המצוינת שבה הן שומרות על המחסניות, אך יש להן פגם גדול ומתסכל. התופסנים גורמים לכך ששליפה והחזרה של המחסניות היא מסורבלת ולא נוחה, מה שמאלץ שימוש בשתי ידיים או עזיבה של היד החזקה מהנשק. פונדות ה-AG שלנו פותרות את הבעיה הזו ומאפשרות גם שמירה בטוחה על המחסנית בזמן השתלשלות ממסוק וגם שליפה והחזרה של מחסניות בקלילות ביד אחת, ללא עזיבת היד החזקה מהנשק שלך.       • הפונדה מחזיקה שלוש מחסניות עם חיבור מודולרי. החומר המיוחד ממנו מיוצרים תופסני האבטחה מאפשר אחיזה טובה יותר, עם ובלי כפפות.       • בין אם אתה מגן על מדינתך בחזית, מגן על הקהילה שלך או מגן על הבית שלך, ה-AG3 יעניק לך יתרון שאין לו תחליף בשוק.                           • הפונדה מאחסנת 3 מחסניות 5.56, הן של AR והן של M4.       • ה-AG3 תופס כ-3 פסים אנכיים ו-6 פסים אופקיים במערכת MOLLE.                           • ניילון טקטי 500D CORDURA® תקני צבאי       • שכבת MOLLE וולקרו (Velcro) חתוכה בלייזר       • תופס 3 חריצי MOLLE אנכיים ו-6 חריצי MOLLE אופקיים       • משקל: 0.35 ליברות (0.16 ק""ג)       פרטים       • מתאים לשלוש מחסניות 5.56       • מאפשר שליפה והחזרה קלה של המחסניות ביד אחת       • לשונית פולימרית ייחודית לאחיזה יוצאת דופן       • אחיזה אמינה למניעת אובדן של המחסנית       • חיבור MOLLE מובנה בחלק האחורי       • נבחן והוכח בשדה הקרב בישראל       • לשונית אחיזה חכמה העומדת בדרישות צבאיות מבלי להפריע לכניסת המחסנית                           מדיניות החזרים: במידה ואינכם מרוצים מהמוצר, ביכולתכם להחזירו עד 30 ימים מיום רכישתו על מנת לקבל החזר כספי מלא. יש להחזיר את המוצר במצב שבו קיבלתם אותו. לבירורים נוספים, אנא פנו אלינו דרך       customercare@agilitegear.com.",1,https://agilite.co.il/cdn/shop/files/AG3_PlacardTripleMagPouch_RG-1_3e706e03-ea71-4fb2-a5d9-a6156cbd9de8.webp?v=1747123656&width=1024,2025-06-18T18:31:29.813811,4,[],In Stock
ag3-placard-triple-mag-pouch,https://agilite.co.il/products/ag3-placard-triple-mag-pouch,AG3™ - 5.56 פונדת מחסניות סקוטש,259.0,"מידע   מידות   מפרט   החזרים      • פונדת ה-AG3 סקוטש מאפשרת לך לשלוף או להכניס בחזרה מחסניות בקלות יתר, בעזרת יד אחת מבלי שהתופסני אבטחה למחסנית יפריעו לכם.   • הפונדה מחזיקה שלוש מחסניות 5.56 ומתחברת לווסטים עם משטח לסקוטש, או בעזרת הלולאות G שלנו ואבזמי וולקרו. החומר המיוחד ממנו מיוצרים התופסני אבטחה למחסנית מאפשרים אחיזה טובה יותר עם ובלי כפפות כאחד.   • פונדות עם תופסני אבטחה נמצאות בשירות כבר למעלה מעשור בשל הצורה המצוינת שבה הם שומרים על המחסניות אך יש להם פגם גדול ומתסכל...      • הפונדה מאחסנת 3 מחסניות 5.56, גם של AR וגם של M4.   • ה-AG3 מתאים לכל קרמון או ווסט שיש לו חיבור סקוטש, ומגיע עם שני לולאות G ורצועות מודולריות.      • ניילון טקטי 500D CORDURA® בתקן צבאי • חיפוי MOLLE חתוך בלייזר עם סקוטש • מתאים לשלוש מחסניות 5.56 • גובה מתכוונן להתאמה אישית • משקל: 0.35 פאונד (0.16 ק""ג) • כולל חיבורי G תקניים צבאיים • כולל אבזמי MOLLE תקניים צבאיים מפולימר פרטים נוספים • מתאים לשלוש מחסניות 5.56 • מאפשר שליפה והכנסה מחדש של מחסניות ביד אחת בקלות • לשונית פולימר ייחודית לאחיזה יוצאת דופן • מנגנון אחיזה אמין שמונע אובדן מחסניות • בעל גב סקוטש שמתחבר לכל ווסט עם חיבור פלטפורמה תואם • נבדק בקרב בשירות הצבאי בישראל • מערכת אבטחת מחסניות חכמה שעומדת בדרישות צבאיות מבלי להפריע לכניסה לתא האחסון      מדיניות החזרים: במידה ואינכם מרוצים מהמוצר ביכולתכם להחזירו עד 30 ימים מיום רכישתו בכדי לקבל החזר כספי מלא. כל מוצר אשר חוזר אלינו חייב להגיע באותו מצב אשר הגיע אליכם. לבירורים נוספים נא לפנות אלינו דרך customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/AG3_PlacardTripleMagPouch_RG-1_3e706e03-ea71-4fb2-a5d9-a6156cbd9de8.webp?v=1747123656&width=1024,2025-06-18T18:31:29.813811,5,[],Out of Stock
agilite-beanie,https://agilite.co.il/products/agilite-beanie,כובע גרב אג'ילייט,159.0,"Details Sizing Specs Returns   The Brand new Agilite beanie is a technical beanie hat made from a blend of natural and engineered materials to keep you warm over long missions on cool nights.   • One size fits all   • Available in Grey and Navy• 50% Acrylic, 30% Nylon, 20% Wool   U.S Customers Return Policy - If you are not 100% satisfied with your purchase, you can return the product and get a full refund.You can return a product for up to 30 days from the date you received it. Any product you return must be in the same condition you received it in. For any further questions and for info on returns from outside the U.S please contact us at customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/LogoBeanie_GRAY.webp?v=1714292016&width=1024,2025-06-18T18:31:29.813811,2,[],In Stock
general-purpose-pouch,https://agilite.co.il/products/general-purpose-pouch,פאוץ' כללי מודולרי,209.0,"פאוץ' טקטי לשימוש כללי - Agilite                                מידע     מידות     מפרט     החזרים                      פאוץ' טקטי לשימוש כללי, המתאים לאחסון וארגון של ציוד חיוני.         כולל מערכת חיבור מודולרית בגב הפאוץ' עם שמונה פסי MOLLE, המאפשרים חיבור קל לאפודים, חגורות קרב ולציוד טקטי נוסף.         מצויד בפס חיבור לחגורה להתאמה אישית נוחה יותר.         רצועות גומי בתחתית הפאוץ' מאפשרות נשיאת חוסם עורקים או אביזרים נוספים.                           מידה אחת, המתאימה לכל סוגי הציוד.         חיבור מודולרי עם ארבעה פסי MOLLE לרוחב ולאורך, להתאמה אופטימלית.                           500D CORDURA® Mil Spec Tactical Nylon - חומר עמיד לתנאים קיצוניים.         רצועות Milspec לחיבור יציב ועמיד.         רוכסני YKK איכותיים ועמידים בפני מים ולחות.         פתח ניקוז למניעת הצטברות מים ולחות בפאוץ'.                             מדיניות החזרה:         ניתן להחזיר את המוצר עד 30 ימים מיום הרכישה ולקבל החזר כספי מלא.         יש לוודא שהמוצר מוחזר במצבו המקורי כפי שהתקבל וללא סימני שימוש.         לבירורים נוספים ניתן לפנות אלינו בכתובת:         customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/AGILITE_GeneralPurposePouch_RG-1.webp?v=1714292108&width=1024,2025-06-18T18:31:29.813811,3,[],In Stock
agilite-logo-patches,https://agilite.co.il/products/agilite-logo-patches,פאצ'ים לוגו אג'ילייט,23.9,"פרטים   החזרים         • פאצ'ים טקטיים של הלוגו של Agilite   • פאצ'ים טקטיים מסיליקון עם סקוץ' בגב   • זמינים בצבעים: Coyote Tan, שחור ו-Ranger Green            מדיניות החזרים: אם אינכם מרוצים לחלוטין מהרכישה שלכם, תוכלו להחזיר את המוצר ולקבל החזר כספי מלא. ניתן להחזיר את המוצר תוך עד 30 יום מיום קבלתו. כל מוצר מוחזר חייב להיות במצב שבו התקבל.     לשאלות נוספות ולמידע על החזרות מחוץ לארה""ב, אנא צרו קשר בכתובת:     customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/Untitleddesign-2020-11-12T093041.738_1.png?v=1714292177&width=1024,2025-06-18T18:31:29.813811,3,"['size', 'color']",Out of Stock
mitznefet-multicam,https://agilite.co.il/products/mitznefet-multicam,מצנפת אג'ילייט מנומרת,209.0,"מידע   מידות   מפרט   החזרות           • המִצְנֶפֶת הישראלית המקורית מפרקת את הצורה של קסדה צבאית והופכת אותה לקשה יותר לזיהוי על ידי צלפי אויב.     • כעת היא זמינה בפעם הראשונה בדגם Multicam.     • מִצְנֶפֶות משמשות את צה""ל וכוחות נוספים על מנת לפרק את הצורה של הקסדות שלהם בתוך האי-סימטריה של הטבע.     • הצורה העגולה והמדויקת של קסדה צבאית קלה לזיהוי בשטח, והמצנפת לא רק הופכת את הזיהוי לקשה הרבה יותר ומספקת הסוואה יוצאת דופן, אלא גם מציעה הצללה של 360 מעלות מהשמש.     • כאשר המצנפת נלבשת ללא קסדה, היא מאפשרת זרימת אוויר לראש ושחרור חום, מה ששומר עליך מוצל, מוסווה וקריר בסביבות לחימה.     • כיסוי הקסדה של אג'ילייט זמין בפעם הראשונה בדגם Multicam במפרט צבאי וכולל רצועת חיבור לקסדה כך שלא יאבד.     • הוא מתכוונן לחלוטין ומתאים לכל סוגי הקסדות והראשים וכולל רכיבי פלסטיק במפרט צבאי של חברת ITW Nexus.              מתכוונן - מידה אחת שמתאימה לכל סוגי הקסדות              • רשת ניילון במפרט צבאי     • רכיבי פלסטיק של ITW Nexus     • מידה: מתכוונן - מידה אחת שמתאימה לכל סוגי הקסדות     • מיוצר בישראל              מדיניות החזרה - אם אינך מרוצה ב-100% מהרכישה שלך, תוכל להחזיר את המוצר ולקבל החזר כספי מלא. ניתן להחזיר מוצר עד 30 יום מתאריך קבלתו. כל מוצר שתחזיר חייב להיות באותו מצב שקיבלת אותו. לכל שאלה נוספת, אנא פנה אלינו בכתובת customercare@agilitegear.com",1,https://agilite.co.il/cdn/shop/files/agilite-mitznefet-helmet-shape-breaker-multicam-2.webp?v=1714292227&width=1024,2025-06-18T18:31:29.813811,1,[],In Stock
